symbol,date,price
Rangers,Feb 2006,37.44
Rangers,Mar 2006,36.53
Rangers,Apr 2006,35.21
Rangers,May 2006,34.61
Rangers,Jun 2006,38.68
Rangers,Jul 2006,26.89
Rangers,Aug 2006,30.83
Rangers,Sep 2006,32.12
Rangers,Oct 2006,38.09
Rangers,Nov 2006,40.34
Rangers,Dec 2006,39.46
Rangers,Jan 2007,37.67
Rangers,Feb 2007,39.14
Rangers,Mar 2007,39.79
Rangers,Apr 2007,61.33
Rangers,May 2007,69.14
Rangers,Jun 2007,68.41
Rangers,Jul 2007,78.54
Rangers,Aug 2007,79.91
Rangers,Sep 2007,93.15
Rangers,Oct 2007,89.15
Rangers,Nov 2007,90.56
Rangers,Dec 2007,92.64
Rangers,Jan 2008,77.7
Rangers,Feb 2008,64.47
Rangers,Mar 2008,71.3
Rangers,Apr 2008,78.63
Rangers,May 2008,81.62
Rangers,Jun 2008,73.33
Rangers,Jul 2008,76.34
Rangers,Aug 2008,80.81
Rangers,Sep 2008,72.76
Rangers,Oct 2008,57.24
Rangers,Nov 2008,42.7
Rangers,Dec 2008,51.28
Rangers,Jan 2009,58.82
Rangers,Feb 2009,64.79
Rangers,Mar 2009,73.44
Rangers,Apr 2009,80.52
Rangers,May 2009,77.99
Rangers,Jun 2009,83.66
Rangers,Jul 2009,85.76
Rangers,Aug 2009,81.19
Rangers,Sep 2009,93.36
Rangers,Oct 2009,118.81
Rangers,Nov 2009,135.91
Rangers,Dec 2009,134.52
Rangers,Jan 2010,125.41
Rangers,Feb 2010,118.4
Rangers,Mar 2010,128.82
Aberdeen,Jan 2000,100.52
Aberdeen,Feb 2000,92.11
Aberdeen,Mar 2000,106.11
Aberdeen,Apr 2000,99.95
Aberdeen,May 2000,96.31
Aberdeen,Jun 2000,98.33
Aberdeen,Jul 2000,100.74
Aberdeen,Aug 2000,118.62
Aberdeen,Sep 2000,101.19
Aberdeen,Oct 2000,88.5
Aberdeen,Nov 2000,84.12
Aberdeen,Dec 2000,76.47
Aberdeen,Jan 2001,100.76
Aberdeen,Feb 2001,89.98
Aberdeen,Mar 2001,86.63
Aberdeen,Apr 2001,103.7
Aberdeen,May 2001,100.82
Aberdeen,Jun 2001,102.35
Aberdeen,Jul 2001,94.87
Aberdeen,Aug 2001,90.25
Aberdeen,Sep 2001,82.82
Aberdeen,Oct 2001,97.58
Aberdeen,Nov 2001,104.5
Aberdeen,Dec 2001,109.36
Aberdeen,Jan 2002,97.54
Aberdeen,Feb 2002,88.82
Aberdeen,Mar 2002,94.15
Aberdeen,Apr 2002,75.82
Aberdeen,May 2002,72.97
Aberdeen,Jun 2002,65.31
Aberdeen,Jul 2002,63.86
Aberdeen,Aug 2002,68.52
Aberdeen,Sep 2002,53.01
Aberdeen,Oct 2002,71.76
Aberdeen,Nov 2002,79.16
Aberdeen,Dec 2002,70.58
Aberdeen,Jan 2003,71.22
Aberdeen,Feb 2003,71.13
Aberdeen,Mar 2003,71.57
Aberdeen,Apr 2003,77.47
Aberdeen,May 2003,80.48
Aberdeen,Jun 2003,75.42
Aberdeen,Jul 2003,74.28
Aberdeen,Aug 2003,75.12
Aberdeen,Sep 2003,80.91
Aberdeen,Oct 2003,81.96
Aberdeen,Nov 2003,83.08
Aberdeen,Dec 2003,85.05
Aberdeen,Jan 2004,91.06
Aberdeen,Feb 2004,88.7
Aberdeen,Mar 2004,84.41
Aberdeen,Apr 2004,81.04
Aberdeen,May 2004,81.59
Aberdeen,Jun 2004,81.19
Aberdeen,Jul 2004,80.19
Aberdeen,Aug 2004,78.17
Aberdeen,Sep 2004,79.13
Aberdeen,Oct 2004,82.84
Aberdeen,Nov 2004,87.15
Aberdeen,Dec 2004,91.16
Aberdeen,Jan 2005,86.39
Aberdeen,Feb 2005,85.78
Aberdeen,Mar 2005,84.66
Aberdeen,Apr 2005,70.77
Aberdeen,May 2005,70.18
Aberdeen,Jun 2005,68.93
Aberdeen,Jul 2005,77.53
Aberdeen,Aug 2005,75.07
Aberdeen,Sep 2005,74.7
Aberdeen,Oct 2005,76.25
Aberdeen,Nov 2005,82.98
Aberdeen,Dec 2005,76.73
Aberdeen,Jan 2006,75.89
Aberdeen,Feb 2006,75.09
Aberdeen,Mar 2006,77.17
Aberdeen,Apr 2006,77.05
Aberdeen,May 2006,75.04
Aberdeen,Jun 2006,72.15
Aberdeen,Jul 2006,72.7
Aberdeen,Aug 2006,76.35
Aberdeen,Sep 2006,77.26
Aberdeen,Oct 2006,87.06
Aberdeen,Nov 2006,86.95
Aberdeen,Dec 2006,91.9
Aberdeen,Jan 2007,93.79
Aberdeen,Feb 2007,88.18
Aberdeen,Mar 2007,89.44
Aberdeen,Apr 2007,96.98
Aberdeen,May 2007,101.54
Aberdeen,Jun 2007,100.25
Aberdeen,Jul 2007,105.4
Aberdeen,Aug 2007,111.54
Aberdeen,Sep 2007,112.6
Aberdeen,Oct 2007,111
Aberdeen,Nov 2007,100.9
Aberdeen,Dec 2007,103.7
Aberdeen,Jan 2008,102.75
Aberdeen,Feb 2008,109.64
Aberdeen,Mar 2008,110.87
Aberdeen,Apr 2008,116.23
Aberdeen,May 2008,125.14
Aberdeen,Jun 2008,114.6
Aberdeen,Jul 2008,123.74
Aberdeen,Aug 2008,118.16
Aberdeen,Sep 2008,113.53
Aberdeen,Oct 2008,90.24
Aberdeen,Nov 2008,79.65
Aberdeen,Dec 2008,82.15
Aberdeen,Jan 2009,89.46
Aberdeen,Feb 2009,90.32
Aberdeen,Mar 2009,95.09
Aberdeen,Apr 2009,101.29
Aberdeen,May 2009,104.85
Aberdeen,Jun 2009,103.01
Aberdeen,Jul 2009,116.34
Aberdeen,Aug 2009,117
Aberdeen,Sep 2009,118.55
Aberdeen,Oct 2009,119.54
Aberdeen,Nov 2009,125.79
Aberdeen,Dec 2009,130.32
Aberdeen,Jan 2010,121.85
Aberdeen,Feb 2010,127.16
Aberdeen,Mar 2010,125.55
Celtic,Jan 2000,25.94
Celtic,Feb 2000,28.66
Celtic,Mar 2000,33.95
Celtic,Apr 2000,31.01
Celtic,May 2000,21
Celtic,Jun 2000,26.19
Celtic,Jul 2000,25.41
Celtic,Aug 2000,30.47
Celtic,Sep 2000,12.88
Celtic,Oct 2000,9.78
Celtic,Nov 2000,8.25
Celtic,Dec 2000,7.44
Celtic,Jan 2001,10.81
Celtic,Feb 2001,9.12
Celtic,Mar 2001,11.03
Celtic,Apr 2001,12.74
Celtic,May 2001,9.98
Celtic,Jun 2001,11.62
Celtic,Jul 2001,9.4
Celtic,Aug 2001,9.27
Celtic,Sep 2001,7.76
Celtic,Oct 2001,8.78
Celtic,Nov 2001,10.65
Celtic,Dec 2001,10.95
Celtic,Jan 2002,12.36
Celtic,Feb 2002,10.85
Celtic,Mar 2002,11.84
Celtic,Apr 2002,12.14
Celtic,May 2002,11.65
Celtic,Jun 2002,8.86
Celtic,Jul 2002,7.63
Celtic,Aug 2002,7.38
Celtic,Sep 2002,7.25
Celtic,Oct 2002,8.03
Celtic,Nov 2002,7.75
Celtic,Dec 2002,7.16
Celtic,Jan 2003,7.18
Celtic,Feb 2003,7.51
Celtic,Mar 2003,7.07
Celtic,Apr 2003,7.11
Celtic,May 2003,8.98
Celtic,Jun 2003,9.53
Celtic,Jul 2003,10.54
Celtic,Aug 2003,11.31
Celtic,Sep 2003,10.36
Celtic,Oct 2003,11.44
Celtic,Nov 2003,10.45
Celtic,Dec 2003,10.69
Celtic,Jan 2004,11.28
Celtic,Feb 2004,11.96
Celtic,Mar 2004,13.52
Celtic,Apr 2004,12.89
Celtic,May 2004,14.03
Celtic,Jun 2004,16.27
Celtic,Jul 2004,16.17
Celtic,Aug 2004,17.25
Celtic,Sep 2004,19.38
Celtic,Oct 2004,26.2
Celtic,Nov 2004,33.53
Celtic,Dec 2004,32.2
Celtic,Jan 2005,38.45
Celtic,Feb 2005,44.86
Celtic,Mar 2005,41.67
Celtic,Apr 2005,36.06
Celtic,May 2005,39.76
Celtic,Jun 2005,36.81
Celtic,Jul 2005,42.65
Celtic,Aug 2005,46.89
Celtic,Sep 2005,53.61
Celtic,Oct 2005,57.59
Celtic,Nov 2005,67.82
Celtic,Dec 2005,71.89
Celtic,Jan 2006,75.51
Celtic,Feb 2006,68.49
Celtic,Mar 2006,62.72
Celtic,Apr 2006,70.39
Celtic,May 2006,59.77
Celtic,Jun 2006,57.27
Celtic,Jul 2006,67.96
Celtic,Aug 2006,67.85
Celtic,Sep 2006,76.98
Celtic,Oct 2006,81.08
Celtic,Nov 2006,91.66
Celtic,Dec 2006,84.84
Celtic,Jan 2007,85.73
Celtic,Feb 2007,84.61
Celtic,Mar 2007,92.91
Celtic,Apr 2007,99.8
Celtic,May 2007,121.19
Celtic,Jun 2007,122.04
Celtic,Jul 2007,131.76
Celtic,Aug 2007,138.48
Celtic,Sep 2007,153.47
Celtic,Oct 2007,189.95
Celtic,Nov 2007,182.22
Celtic,Dec 2007,198.08
Celtic,Jan 2008,135.36
Celtic,Feb 2008,125.02
Celtic,Mar 2008,143.5
Celtic,Apr 2008,173.95
Celtic,May 2008,188.75
Celtic,Jun 2008,167.44
Celtic,Jul 2008,158.95
Celtic,Aug 2008,169.53
Celtic,Sep 2008,113.66
Celtic,Oct 2008,107.59
Celtic,Nov 2008,92.67
Celtic,Dec 2008,85.35
Celtic,Jan 2009,90.13
Celtic,Feb 2009,89.31
Celtic,Mar 2009,105.12
Celtic,Apr 2009,125.83
Celtic,May 2009,135.81
Celtic,Jun 2009,142.43
Celtic,Jul 2009,163.39
Celtic,Aug 2009,168.21
Celtic,Sep 2009,185.35
Celtic,Oct 2009,188.5
Celtic,Nov 2009,199.91
Celtic,Dec 2009,210.73
Celtic,Jan 2010,192.06
Celtic,Feb 2010,204.62
Celtic,Mar 2010,223.02
